Response_id,Gender,Sleep,GPA
134379,Female,7,3.8
134408,Female,8,4
134411,Female,8,3.95
134516,Male,4,3.6
134554,Male,9,3.5
134673,Female,7,3
134676,Female,5,3.61
134682,Female,6,3.5
134687,Female,5,3.6
134844,Female,7,3
134847,Male,5,3
134858,Female,6,3.5
135004,Female,6,3.6
136642,Female,6,3
136654,Male,7,2.8
139078,Female,6,3
139492,Male,6,3.2
143540,Male,8,2.75
147042,Male,7,4
147077,Female,7,3.2
147113,Female,6,3
147130,Male,5,3.7
147149,Male,8,3.987
147152,Male,7,3.25
147153,Female,6,3.8
147169,Female,6,3.7
149006,Male,6,2.5
149020,Female,6,3.01
149025,Male,9,3
149027,Female,7,3.5